Vereador;Partido;Aprovado;Ementa;Texto
Ailton da Farmácia;PSD;sim;DECLARA ÓRGÃO DE UTILIDADE PÚBLICA MUNICIPAL A ADRA - NÚCLEO PROFA. CÁSSIA RODRIGUES LASCA.;Art. I Q Fica declarada órgão de utilidade pública municipal a ADRA — Núcleo Profa. Cássia Rodrigues Lasca, situada no município de Campinas e inscrita no Cadastro Nacional da Pessoa Jurídica - CNP] sob o número 15.355.260/0025-24.
Ailton da Farmácia;PSD;sim;DENOMINA PRAÇA ZILDA MELLO SMILGYS UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;"Art. I P Fica denominada Praça Zilda Mello Smilgys a Praça 09 (Quarteirão 16.703, Código
Cartográfico 3441.5461.0001, com área de 560,00m 2 ) do loteamento Jardim dos Oliveiras — 3? Parte, situada entre a Rua Luiz Mariano Bueno (Rua 12) e a Rua Waldormiro Gonzaga Silva (Rua 14), no mesmo loteamento."
Ailton da Farmácia;PSD;sim;DENOMINA RUA JOSÉ LATARO UMA VIA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 10 Fica denominada Rua José Lataro a Rua 01 do Io eamento Parque Residencial Caiapó, com início na divisa do loteamento com o Jardim Carlos Lourenço, junto à Rua Monsenhor Antonio Mariano da Silva Cam rgo, e término na Avenida das Andorinhas, junto à divisa do Jardim Itayú
Ailton da Farmácia;PSD;sim;DENOMINA PRAÇA ROBERTO ANGELO CASTELLO UMA ÁREA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;"Art. 1 0 Fica denominada Praça Roberto Angelo Castello a ár a pertencente ao Quarteirão 10.841 (formada pelo remanescente da Praça 01 0 loteamento Vila Alberto Simões, de Código Cartográfico 3442.4121.0040, e pelo remanescente da
Praça 01 do loteamento Vila Antônio Francisco, de Cófjigo Cartográfico 3442.4121.0158), situada entre a Rua Júlio Pereira Brum, a Rua Piccolotto, a Rua Antonieta Quattrer Serra e via sem designação, em ambos os loteamentos."
Ailton da Farmácia;PSD;não;DISPÕE SOBRE A GRATUIDADE POR ATÉ DUAS HORAS DE ESTACIONAMENTO NOS ESPAÇOS PÚBLICOS DO MUNICÍPIO CONCEDIDOS OU NÃO À INCIATIVA PRIVADA ÀS PESSOAS COM 60 ANOS OU MAIS E AOS DEFICIENTES.;"Art. 1 0 Institui a gratuidade por até duas horas de estacionamento nos espaços públicos do município de Campinas, concedidos ou não à iniciativa privada por tempo determinado, às pessoas com 60 anos ou mais e aos deficientes.
Parágrafo Único A gratuidade de que trata o caput será concedida mediante a apresentação da credencial de estacionamento para vagas especiais emitida exclusivamente pela Empresa Municipal de Desenvolvimento de Campinas - EMDEC.
Art. 20 A demarcação das vagas de estacionamento exclusivas para idosos a partir dos 60 anos será de responsabilidade do órgão municipal no espaço público adequado ou àquele concedido à iniciativa privada.
Art. 30 Idosos e deficientes poderão estacionar em vagas comuns em caso de as demarcadas estarem ocupadas.
Art 40 As despesas decorrentes da execução desta Lei ocorrerão por conta de dotações orçamentárias próprias, suplementadas se necessário."
Ailton da Farmácia;PSD;não;CRIA O PROGRAMA MUNICIPAL DE COMBATE À PRÁTICA DO CIBERBULLYNG NAS ESCOLAS PÚBLICAS MUNICIPAIS E DÁ OUTRAS PROVIDÊNCIAS.;"Art. 1 0 Fica criado o Programa de Combate ao ""Ciberbullyng"" para os alunos do 50 ao 9 0 ano do Ensino Fundamental das escolas da rede pública municipal de ensino de Campinas.
Parágrafo Único Entende-se por ""Ciberbullyng"" todo ato de violência psicológica, intencional e repetitiva, praticada por indivíduo ou grupo em mídias sociais ou espaços virtuais, por meio da rede mundial de computadores ou tecnologia relacionada, contra uma ou mais pessoas.
Art. 2 0 A Secretaria Municipal de Educação ficará responsável por capacitar professores e especificar as atividades extracurriculares para a execução desta Lei.
Art. 30 Cada unidade escolar municipal com alunos do 50 ao 90 ano do Ensino Fundamental deverá produzir relatórios semestrais sobre casos registrados de ""Ciberbullyng"" 
Parágrafo Único O relatório deverá constar as soluções tomadas pela unidade de ensino para coibir os casos.
Art. 30 As despesas decorrentes da execução desta Lei ocorrerão por conta de dotações orçamentárias próprias, suplementadas se necessário."
Aurélio Cláudio;PMB;não;DISPÕE SOBRE A RESERVA DE UNIDADES HABITACIONAIS PARA SERVIR DE ABRIGO TEMPORÁRIO PARA MULHERES E/OU FAMÍLIAS EM RISCO E DÁ OUTRAS PROVIDÊNCIAS.;"Art. 10 Fica obrigatória a reserva de unidades habitacionais nos conjuntos residenciais construídos, implantados, gerenciados, ou incorporados pela COHAB  Companhia de Habitação Popular de Campinas, para utilização como abrigo temporário para mulheres e ou famílias em risco.
Parágrafo único A reserva será de, no mínimo, uma unidade habitacional por conjunto de 100 (cem) unidades.
Art. 2 0 Considera-se mulher e ou família em risco aquelas que possuírem medida protetiva concedida pelo Poder Judiciário.
Parágrafo único Preferencialmente serão atendidas as mulheres e ou famílias que não disponham de imóvel residencial próprio e que possuam filhos menores.
Art. 20 As unidades habitacionais especialmente reservadas deverão estar mobiliadas de forma a permitir aos abrigados condições de conforto e segurança.
Art. 30 As mulheres e ou famílias em risco serão acolhidas pela Secretaria de Assistência Social e Segurança Alimentar que as encaminhará para as unidades habitacionais disponíveis.
Art. 40 Caberá ainda à Secretaria de Assistência Social e Segurança Alimentar o provisionamento dos serviços de água, energia elétrica e gás, bem como de produtos alimentícios e de higiene para a unidade habitacional.
Parágrafo único O provisionamento de serviços e produtos de que trata o caput deste artigo será efetuado pelo período de 3 (três) meses, podendo ser prorrogado após avaliação sócio econômica e de risco realizada por Assistente Social.
Art. 50 A mulheres e ou famílias atendidas não poderão divulgar o endereço da unidade habitacional para o agressor, seus parentes ou amigos sob pena de perda do direito à habitação.
Art. 6 0 A cessão da unidade habitacional será pelo prazo de 6 (seis) meses, podendo ser prorrogada por igual período após avaliação sócio econômica e de risco realizada por Assistente Social.

S 1 0 0 prazo máximo de permanência na unidade será de 1 (um) ano, quando se dará a desocupação compulsória.
S 2 0 A notificação da desocupação compulsória será feita pela Secretaria de Assistência Social e Segurança Alimentar com 30 (trinta) dias de antecedência.
S 30 A desocupação do imóvel será realizada pela COHAB diretamente e independe de ordem, ou mandado judicial.
Art. 70 A Secretaria de Assistência Social e Segurança Alimentar designará assistente social responsável para avaliar, vistoriar e fiscalizar as unidades habitacionais, devendo emitir parecer sobre a situação dos ocupantes, do imóvel e demais assuntos pertinentes.
Art. 8 0 Os ocupantes serão responsáveis pelo mobiliário, limpeza, higiene e conservação do imóvel, podendo ser retirados do mesmo em caso de abuso, quebra ou destruição de bens.
Art. 9 0 A Prefeitura Municipal poderá negociar com incorporadoras de conjuntos habitacionais, dentro do escopo das contrapartidas que lhes competem, a doação de imóveis para funcionar como abrigo temporário.
Parágrafo único Na negociação a Prefeitura Municipal exigirá que o imóvel esteja mobiliado.
Art. 10 A COHAB — Companhia de Habitação Popular de Campinas poderá destinar imóveis para servir de abrigo dentre aqueles objeto de reintegração de posse por falta de pagamento, ou outra situação que implicar na devolução do imóvel.
Art. 11 Para criar o primeiro grupo de unidades habitacionais abrigo poderão ser locados imóveis.
Art. 12 A Secretaria de Assistência Social e Segurança Alimentar poderá firmar convênio com entidades públicas ou privadas para dar cumprimento ao disposto nesta lei.
Art. 13 Esta lei entra em vigor na data de sua publicação, revogadas as disposições em contrário."
Aurélio Cláudio;PMB;sim;DENOMINA PRAÇA JOSÉ LUIZ CEZAR - ZEBA UM SISTEMA DE LAZER DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominado Praça José Luiz Cezar — Zeba o Sistema de Lazer 5 (Quarteirão 16.117, Código Cartográfico 3242.6346.0001, com área de 802,32m 2) do loteamento Parque dos Alecrins, situado entre a Avenida Carlos Diaulas Serpa (Avenida 01), a Avenida Doutor Expedito Ramalho de Alencar (Avenida 02) e a Área Institucional 03, todas no mesmo loteamento.
Campos Filho;DEM;sim;DENOMINA RUA IRMÃ LAURETTE VACHON UMA VIA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Rua Irmã Laurette Vachon a Rua 87 do loteamento Alphaville Campinas, localizada entre a Praça Milton Luiz Raphaelli (Sistema de Lazer 141) e a Praça 147 e com início e término na Avenida Alaor Faria de Barros (Avenida 05), no mesmo loteamento.
Campos Filho;DEM;sim;DENOMINA RUA IRMÃ GENOVEVA OUVRARD UMA VIA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Rua Irmã Genoveva Ouvrard a Rua 88 do loteamento Alphaville Campinas, localizada entre a Praça Milton Luiz Raphaelli (Sistema de Lazer 141) e a Praça 145 e com início e término na Avenida Alaor Faria de Barros (Avenida 05), no mesmo loteamento.
